#A1=ISO-8859-1
#A2=de
#A3=,
#A4=.
#A5="
#A6=2010
#B01=ACC,ACB,ABC,ABA,ABQ,AAD,AAB,AAK,AAF,ABF,ABG,ABH,AAA
400,400,A,EN 13508-2:2003+A1:2011,23.5,6,2925,A,2925,2007-07-19,09:05,Mr. Clean/Mrs. Perfect,1
#C=I,N,A,B,C,D,G,H,K,F,M,J
0,,BCD,X,P,2925,,,,,,
0.5,,BAC,B,,59,12,12,A,,4,
3.4,,BAB,A,A,1,12,,A,[Chr1 Y->A] [Chr2 Y->A],,
3.4,,BAB,B,A,2,6,,A,[Chr1 Y->B] [Chr2 Y->A],5,
4.4,,BAB,B,A,2,6,,,[Chr1 Y->B],,A2
4.4,,BAB,B,A,2,12,,,[Chr1 Y->B],6,A1
5.1,,BAB,B,A,2,6,,,[Chr1 Y->B],,B2
5.4,,BAB,B,A,2,12,,,[Chr1 Y->B],,B1
6.4,,BAB,A,A,1,6,,A,[Chr1 Y->A] [Chr2 Y->A],,
9.4,,BAB,A,A,1,6,,,[Chr1 Y->A],,A3
9.4,,BAB,A,A,1,12,,,[Chr1 Y->A],,A4
10.9,,BAB,A,A,1,12,,,[Chr1 Y->A],,B4
11.3,,BAB,A,A,1,6,,,[Chr1 Y->A],,B3
14.3,,BAB,A,A,1,3,,A,[Chr1 Y->A] [Chr2 Y->A],,
14.3,,BBB,A,,1,3,,,,,
16.4,,BBB,A,,2,12,12,,,,
16.6,,BCA,A,B,,3,,,,,
17,,BAB,A,A,1,12,,A,[Chr1 Y->A] [Chr2 Y->A],,
17,,BBB,A,,3,12,12,,,,
17,,BBF,A,,,12,,A,,,
17,,BBF,A,,,12,12,,,,
17,,BBF,A,,,12,12,A,,7,
19,,BAB,B,A,2,12,,A,[Chr1 Y->B] [Chr2 Y->A],,
19.9,,BBB,A,,2,12,12,,,,
19.9,,BBF,A,,,12,12,,,,
19.9,,BBF,A,,,12,12,A,,,
20.9,,BAB,B,C,2,12,12,,Scherbenbildung [Chr1 Y->B],8,A6
20.9,,BBB,A,,2,12,12,,,,
20.9,,BBF,A,,,12,12,,,,
20.9,,BBF,A,,,12,12,,,8,A5
20.9,,BBF,A,,,12,12,A,,,
20.9,,BDB,,,,,,,[cm->mm],8,
21.6,,BAB,B,C,2,12,12,,Scherbenbildung [Chr1 Y->B],,B6
21.6,,BBF,A,,,12,12,,,,B5
21.6,,BDB,,,,,,,[cm->mm],,
22,,BAB,A,A,1,9,,A,[Chr1 Y->A] [Chr2 Y->A],,
22,,BBF,A,,,9,,A,,,
22.9,,BAB,A,A,1,3,,A,[Chr1 Y->A] [Chr2 Y->A],,
22.9,,BBB,A,,1,3,,,,,
22.9,,BBF,A,,,3,,,,,
22.9,,BBF,A,,,3,,A,,,
23.5,,BBB,A,,2,12,12,,,,
23.5,,BBF,A,,,12,12,,,,
23.5,,BBF,A,,,12,12,A,,,
23.5,,BCE,X,P,6,,,,,,
#Z
#B01=ACC,ACB,ABC,ABA,ABQ,AAD,AAB,AAK,AAF,ABF,ABG,ABH,AAA
300,300,A,EN 13508-2:2003+A1:2011,12.3,6,2942,A,2942,1999-02-25,12:51,Mr. Incredible,2
#C=I,N,A,B,C,D,G,H,K,F,M,J
0,,BCD,X,P,2942,,,,,,
0,,BDB,,,,,,,[gen. aus HA bei 14.52m],,
12.3,,BCE,X,P,6,,,,,,
12.3,,BDB,,,,,,,[gen. aus EH bei 1.22m],,
#Z
#B01=ACC,ACB,ABC,ABA,ABQ,AAD,AAB,AAK,AAF,ABF,ABG,ABH,AAA
200,200,A,EN 13508-2:2003+A1:2011,49.1,8,8,B,7,2001-01-02,14:51,Mrs. Perfect,3
#C=I,N,A,B,C,D,G,H,K,F,M,J
0,4617,BCD,X,P,8,,,,,,
1.6,4645,BAB,A,A,1,12,,A,[Chr1 Y->A] [Chr2 Y->A],,
1.6,4651,BAC,B,,39,12,,A,,,
